concentration;id;start_date;start_hour;end_date;end_hour;emergence
2.5;2;10/01/2023;11:02;22/01/2023;11:00;0
2.5;3;10/01/2023;11:18;22/01/2023;11:00;0
2.5;4;10/01/2023;11:37;22/01/2023;11:00;0
2.5;5;10/01/2023;11:54;22/01/2023;11:00;1
2.5;6;10/01/2023;12:49;22/01/2023;11:00;0
2.5;7;10/01/2023;13:09;22/01/2023;11:00;1
2.5;8;10/01/2023;13:28;22/01/2023;11:00;0
2.5;9;10/01/2023;14:59;22/01/2023;11:00;1
2.5;10;10/01/2023;15:19;22/01/2023;11:00;2
1;1;10/01/2023;10:48;22/01/2023;11:00;1
1;2;10/01/2023;11:03;22/01/2023;11:00;4
1;3;10/01/2023;11:21;22/01/2023;11:00;1
1;4;10/01/2023;11:39;22/01/2023;11:00;0
1;5;10/01/2023;11:56;22/01/2023;11:00;0
1;6;10/01/2023;12:51;22/01/2023;11:00;0
1;7;10/01/2023;13:10;22/01/2023;11:00;1
1;8;10/01/2023;13:31;22/01/2023;11:00;0
1;9;10/01/2023;15:01;22/01/2023;11:00;1
1;10;10/01/2023;15:21;22/01/2023;11:00;1
0.5;1;10/01/2023;10:50;22/01/2023;11:00;0
0.5;2;10/01/2023;11:05;22/01/2023;11:00;0
0.5;3;10/01/2023;11:23;22/01/2023;11:00;0
0.5;4;10/01/2023;11:41;22/01/2023;11:00;1
0.5;5;10/01/2023;11:57;22/01/2023;11:00;0
0.5;6;10/01/2023;12:53;22/01/2023;11:00;1
0.5;7;10/01/2023;13:13;22/01/2023;11:00;1
0.5;8;10/01/2023;13:34;22/01/2023;11:00;0
0.5;9;10/01/2023;15:03;22/01/2023;11:00;1
0.5;10;10/01/2023;15:27;22/01/2023;11:00;0
0.1;1;10/01/2023;10:52;22/01/2023;11:00;0
0.1;2;10/01/2023;11:08;22/01/2023;11:00;0
0.1;3;10/01/2023;11:25;22/01/2023;11:00;1
0.1;4;10/01/2023;11:43;22/01/2023;11:00;2
0.1;5;10/01/2023;12:00;22/01/2023;11:00;0
0.1;6;10/01/2023;12:55;22/01/2023;11:00;0
0.1;7;10/01/2023;13:16;22/01/2023;11:00;2
0.1;8;10/01/2023;13:53;22/01/2023;11:00;0
0.1;9;10/01/2023;15:06;22/01/2023;11:00;0
0.1;10;10/01/2023;16:08;22/01/2023;11:00;1
0.02;1;10/01/2023;10:54;22/01/2023;11:00;1
0.02;2;10/01/2023;11:11;22/01/2023;11:00;0
